regiao,uf,municipio,co_ibge,nome_estabelecimento,comp,cnes,razao_social,tipo_gestao,ds_tipo_unidade,desc_natureza_juridica,leitos_existentes,leitos_sus,populacao,id_estabelecimento,existentes_nao_sus,percentual_sus
CENTRO-OESTE,DF,BRASILIA,530010,CAU HOSPITAL UROLOGICO DE BRASILIA,202603,3000974,HOSPITAL UROLOGICO DE BRASILIA LTDA,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,12,0,2996899.0,DF|BRASILIA|CAU HOSPITAL UROLOGICO DE BRASILIA,12,0.0
CENTRO-OESTE,DF,BRASILIA,530010,CBV,202603,3055450,CBV CENTRO BRASILEIRO DA VISAO SA,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,13,7,2996899.0,DF|BRASILIA|CBV,6,53.84615384615385
CENTRO-OESTE,DF,BRASILIA,530010,CLINICA AMMA,202603,3281108,CENTRO CLINICO AMMA LTDA,Estadual,HOSPITAL GERAL,HOSPITAL_PRIVADO,8,0,2996899.0,DF|BRASILIA|CLINICA AMMA,8,0.0
CENTRO-OESTE,DF,BRASILIA,530010,CLINICA CRESCER HUMANIZADA EM PSIQUIATRIA,202603,9307524,CLINICA CRESCER HUMANIZADA EM PSIQUIATRIA LTDA,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,215,0,2996899.0,DF|BRASILIA|CLINICA CRESCER HUMANIZADA EM PSIQUIATRIA,215,0.0
CENTRO-OESTE,DF,BRASILIA,530010,CLINICA RECANTO,202603,4390601,INSTITUTO DE PSIQUIATRIA E ORIENTACAO PSICOSSOCIAL LTDA,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,56,0,2996899.0,DF|BRASILIA|CLINICA RECANTO,56,0.0
CENTRO-OESTE,DF,BRASILIA,530010,DF CARE LAGO SUL,202603,3839206,DF CARE HOSPITAL DE ESPECIALIDADES CRONICAS LTDA,Estadual,HOSPITAL GERAL,HOSPITAL_PRIVADO,26,0,2996899.0,DF|BRASILIA|DF CARE LAGO SUL,26,0.0
CENTRO-OESTE,DF,BRASILIA,530010,DF STAR,202603,9727353,HOSPITAIS INTEGRADOS DA GAVEA S A,Estadual,HOSPITAL GERAL,HOSPITAL_PRIVADO,135,0,2996899.0,DF|BRASILIA|DF STAR,135,0.0
CENTRO-OESTE,DF,BRASILIA,530010,DOMED,202603,9040021,DOMED PRODUTOS E SERVICOS DE SAUDE LTDA,Estadual,HOSPITAL GERAL,HOSPITAL_PRIVADO,89,74,2996899.0,DF|BRASILIA|DOMED,15,83.14606741573034
CENTRO-OESTE,DF,BRASILIA,530010,ESTANCIA RESILIENCIA,202603,7344538,CENTRO DE REABILITACAO PSICOSSOCIAL ESTANCIA RESILIENCIA LTD,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,115,0,2996899.0,DF|BRASILIA|ESTANCIA RESILIENCIA,115,0.0
CENTRO-OESTE,DF,BRASILIA,530010,HFA,202603,0010561,HOSPITAL DAS FORCAS ARMADAS,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,75,0,2996899.0,DF|BRASILIA|HFA,75,0.0
