regiao,uf,municipio,co_ibge,cnes,comp,nome_estabelecimento,razao_social,tipo_gestao,ds_tipo_unidade,desc_natureza_juridica,leitos_existentes,leitos_sus,populacao,id_estabelecimento,existentes_nao_sus,percentual_sus
CENTRO-OESTE,DF,BRASILIA,530010,0010456,202603,HOSPITAL DE BASE DO DISTRITO FEDERAL,HOSPITAL DE BASE DO DISTRITO FEDERAL,Estadual,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,888,888,2996899.0,0010456,0,100.0
CENTRO-OESTE,DF,BRASILIA,530010,0010464,202603,HRAN,DISTRITO FEDERAL SECRETARIA DE SAUDE,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,353,320,2996899.0,0010464,33,90.6515580736544
CENTRO-OESTE,DF,BRASILIA,530010,0010472,202603,HRG,HOSPITAL REGIONAL DO GAMA,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,436,428,2996899.0,0010472,8,98.1651376146789
CENTRO-OESTE,DF,BRASILIA,530010,0010480,202603,HOSPITAL REGIONAL DE CEILANDIA,HOSPITAL REGIONAL DE CEILANDIA,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,555,533,2996899.0,0010480,22,96.03603603603604
CENTRO-OESTE,DF,BRASILIA,530010,0010499,202603,HRT HOSPITAL REGIONAL DE TAGUATINGA,HOSPITAL REGIONAL DE TAGUATINGA,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,462,435,2996899.0,0010499,27,94.15584415584416
CENTRO-OESTE,DF,BRASILIA,530010,0010502,202603,HRS,HOSPITAL REGIONAL DE SOBRADINHO,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,271,239,2996899.0,0010502,32,88.19188191881919
CENTRO-OESTE,DF,BRASILIA,530010,0010510,202603,HOSPITAL UNIVERSITARIO DE BRASILIA,FUNDACAO UNIVERSIDADE DE BRASILIA,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,231,217,2996899.0,0010510,14,93.93939393939394
CENTRO-OESTE,DF,BRASILIA,530010,0010529,202603,HRPL,HOSPITAL REGIONAL DE PLANALTINA,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,142,136,2996899.0,0010529,6,95.77464788732394
CENTRO-OESTE,DF,BRASILIA,530010,0010537,202603,HOSPITAL MATERNO INFANTIL DR ANTONIO LISBOA,HOSPITAL MATERNO INFANTIL DR ANTONIO LISBOA,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,268,247,2996899.0,0010537,21,92.16417910447761
CENTRO-OESTE,DF,BRASILIA,530010,0010545,202603,HRBZ,HOSPITAL REGIONAL DE BRAZLANDIA,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,90,84,2996899.0,0010545,6,93.33333333333333
CENTRO-OESTE,DF,BRASILIA,530010,0010561,202603,HFA,HOSPITAL DAS FORCAS ARMADAS,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,75,0,2996899.0,0010561,75,0.0
CENTRO-OESTE,DF,BRASILIA,530010,0010618,202603,HOSPITAL SAO VICENTE DE PAULO HSVP,HOSPITAL SAO VICENTE DE PAULO HSVP,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_PÚBLICO,83,83,2996899.0,0010618,0,100.0
CENTRO-OESTE,DF,BRASILIA,530010,0049867,202603,HOSPITAL AGUAS CLARAS,IMPAR SERVICOS HOSPITALARES,Estadual,HOSPITAL GERAL,HOSPITAL_PRIVADO,260,0,2996899.0,0049867,260,0.0
CENTRO-OESTE,DF,BRASILIA,530010,0185256,202603,HOSPITAL SANTA LUCIA TAGUATINGA,HOSPITAL SANTA LUCIA S A,Estadual,HOSPITAL GERAL,HOSPITAL_PRIVADO,24,0,2996899.0,0185256,24,0.0
CENTRO-OESTE,DF,BRASILIA,530010,0552216,202603,TOTAL HEALTH BRASIL SAUDE E PARTICIPACOES,TOTAL HEALTH BRASIL SAUDE E PARTICIPACOES LTDA,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,18,0,2996899.0,0552216,18,0.0
CENTRO-OESTE,DF,BRASILIA,530010,0735078,202603,VERSE IN VERSE DIA,VERSE CLINICA DE SAUDE MENTAL LTDA,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,195,0,2996899.0,0735078,195,0.0
CENTRO-OESTE,DF,BRASILIA,530010,0797146,202603,HOSPITAL BRASILIENSE,HAPVIDA ASSISTENCIA MEDICA S A,Estadual,HOSPITAL GERAL,HOSPITAL_PRIVADO,66,0,2996899.0,0797146,66,0.0
CENTRO-OESTE,DF,BRASILIA,530010,2645157,202603,HRL,HOSPITAL DA REGIAO LESTE,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,246,246,2996899.0,2645157,0,100.0
CENTRO-OESTE,DF,BRASILIA,530010,2649497,202603,HOSPITAL SANTA MARTA,HOSPITAL SANTA MARTA LTDA,Estadual,HOSPITAL GERAL,HOSPITAL_PRIVADO,232,40,2996899.0,2649497,192,17.24137931034483
CENTRO-OESTE,DF,BRASILIA,530010,2649527,202603,HOSPITAL DE APOIO DE BRASILIA HAB,HOSPITAL DE APOIO DE BRASILIA HAB,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_PÚBLICO,58,58,2996899.0,2649527,0,100.0
CENTRO-OESTE,DF,BRASILIA,530010,2672197,202603,HRSAM HOSPITAL REGIONAL DE SAMAMBAIA,HOSPITAL REGIONAL DE SAMAMBAIA,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,155,148,2996899.0,2672197,7,95.48387096774194
CENTRO-OESTE,DF,BRASILIA,530010,2673916,202603,SARAH BRASILIA,ASSOCIACAO DAS PIONEIRAS SOCIAIS,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_FILANTRÓPICO,250,250,2996899.0,2673916,0,100.0
CENTRO-OESTE,DF,BRASILIA,530010,2779366,202603,OFTALMED,NUCLEO DE DIAGNOSE E MICROCIRURGIA OCULAR DE BRASILIA LTDA,Estadual,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,28,14,2996899.0,2779366,14,50.0
CENTRO-OESTE,DF,BRASILIA,530010,2814897,202603,HOSPITAL REGIONAL DO GUARA I,DISTRITO FEDERAL SECRETARIA DE SAUDE,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,58,58,2996899.0,2814897,0,100.0
