comp,regiao,uf,co_ibge,municipio,cnes,nome_estabelecimento,razao_social,leitos_existentes,leitos_sus
202601,NORDESTE,PE,260290,CABO DE SANTO AGOSTINHO,0000027,CASA DE SAUDE SANTA HELENA,CASA DE SAUDE E MATERNIDADE SANTA HELENA LTDA,64,0
202601,NORDESTE,PE,260290,CABO DE SANTO AGOSTINHO,0000035,HOSPITAL MENDO SAMPAIO,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,29,29
202601,NORDESTE,PE,260290,CABO DE SANTO AGOSTINHO,0000094,MATERNIDADE PADRE GERALDO LEITE BASTOS,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,18,18
202601,NORDESTE,PE,260290,CABO DE SANTO AGOSTINHO,0000183,HOSPITAL SAMARITANO,SOCIEDADE HOSPITALAR SAMARITANO LTDA,54,0
202601,NORDESTE,PE,260290,CABO DE SANTO AGOSTINHO,0000221,HOSPITAL SAO SEBASTIAO,CASA DE SAUDE E MATERNIDADE SAO SEBASTIAO LTDA,52,0
202601,NORDESTE,PE,261160,RECIFE,0000396,HOSPITAL DAS CLINICAS,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES HC UFPE,329,319
202601,NORDESTE,PE,261160,RECIFE,0000418,HOSPITAL AGAMENON MAGALHAES,SECRETARIA DE SAUDE,380,380
202601,NORDESTE,PE,261160,RECIFE,0000426,HOSPITAL OTAVIO DE FREITAS,SECRETARIA DE SAUDE,511,502
202601,NORDESTE,PE,261160,RECIFE,0000434,IMIP,INSTITUTO DE MEDICINA INTEGRAL PROF FERNANDO FIGUEIRA,1048,1046
202601,NORDESTE,PE,261160,RECIFE,0000477,HOSPITAL OSWALDO CRUZ,HOSPITAL UNIVERSITARIO OSWALDO CRUZ,420,420
202601,NORDESTE,PE,261160,RECIFE,0000485,FUNDACAO ALTINO VENTURA,FUNDACAO ALTINO VENTURA,30,30
202601,NORDESTE,PE,261160,RECIFE,0000566,HOSPITAL MARIA LUCINDA,FUNDACAO MANOEL DA SILVA ALMEIDA,242,202
202601,NORDESTE,PE,261160,RECIFE,0000582,HOSPITAL DE CANCER DE PERNAMBUCO,SOCIEDADE PERNAMBUCANA DO COMBATE AO CANCER,263,263
202601,NORDESTE,PE,261160,RECIFE,0000655,HOSPITAL DA RESTAURACAO,SECRETARIA DE SAUDE,835,822
202601,NORDESTE,PE,261160,RECIFE,0000671,US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES,MUNICIPIO DO RECIFE,65,56
202601,NORDESTE,PE,261160,RECIFE,0000701,US 165 MATERNIDADE BANDEIRA FILHO,MUNICIPIO DO RECIFE,44,44
202601,NORDESTE,PE,261160,RECIFE,0000809,FUNDACAO HEMOPE,FUNDACAO DE HEMATOLOGIA E HEMOTERAPIA DE PERNAMBUCO,62,62
202601,NORDESTE,PE,261160,RECIFE,0000930,US 164 CENTRO DE REIDRATACAO E URG PED M CRAVO GAMA,FUNDO MUNICIPAL DE SAUDE,50,50
202601,NORDESTE,PE,261160,RECIFE,0000981,HOSPITAL CORREIA PICANCO,SECRETARIA DE SAUDE,77,77
202601,NORDESTE,PE,261160,RECIFE,0001015,US 163 HOSPITAL DE PEDIATRIA HELENA MOURA,MUNICIPIO DO RECIFE,50,50
202601,NORDESTE,PE,261160,RECIFE,0001120,HOSPITAL PORTUGUES,REAL HOSPITAL PORTUGUES DE BENEFICIENCIA EM PE,725,207
202601,NORDESTE,PE,261160,RECIFE,0001465,NAPPE,NUCLEO ATENCAO PSICOSSOCIAL DE PERNAMBUCO LTDA,2,0
202601,NORDESTE,PE,261160,RECIFE,0001546,HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO,SECRETARIA DE SAUDE,115,115
202601,NORDESTE,SE,280030,ARACAJU,0002232,HOSPITAL SANTA ISABEL,ASSOCIACAO ARACAJUANA DE BENEFICENCIA,253,202
