co_ibge,populacao
110001,22787.0
110002,109170.0
110003,5664.0
110004,98280.0
110005,16966.0
110006,16508.0
110007,7968.0
110008,13510.0
110009,32842.0
110010,43594.0
110011,55682.0
110012,140101.0
110013,34149.0
110014,16374.0
110015,38684.0
110018,39220.0
110020,517709.0
110025,20443.0
110026,3767.0
110028,62959.0
110029,7837.0
110030,109651.0
110032,22305.0
110033,28701.0
110034,13720.0
110037,12237.0
110040,17467.0
110045,30649.0
110050,7972.0
110060,4292.0
110070,9095.0
110080,24313.0
110090,3450.0
110092,10191.0
110094,15877.0
110100,8340.0
110110,9228.0
110120,6519.0
110130,9657.0
110140,12168.0
110143,6541.0
110145,4372.0
110146,2309.0
110147,3268.0
110148,5588.0
110149,17557.0
110150,12965.0
110155,4521.0
110160,8459.0
110170,11314.0
110175,8220.0
110180,6790.0
120001,14712.0
120005,8648.0
120010,28028.0
120013,13928.0
120017,10981.0
120020,98916.0
120025,19874.0
120030,37764.0
120032,9884.0
120033,20479.0
120034,12923.0
120035,18057.0
120038,17107.0
120039,11333.0
120040,389001.0
120042,15560.0
120043,7217.0
120045,22402.0
120050,44049.0
120060,46816.0
120070,19170.0
120080,17523.0
130002,16806.0
130006,11533.0
130008,9981.0
130010,18056.0
130014,21781.0
130020,15889.0
130030,45960.0
130040,18210.0
130050,33722.0
130060,40908.0
130063,22495.0
130068,26479.0
130070,38792.0
130080,34869.0
130083,14806.0
130090,18109.0
130100,31130.0
130110,32336.0
130115,20324.0
130120,73576.0
130130,24572.0
130140,35793.0
130150,17985.0
130160,28227.0
130165,14344.0
130170,63454.0
130180,25629.0
130185,68862.0
130190,113917.0
130195,11956.0
130200,10955.0
130210,9420.0
130220,11093.0
130230,28202.0
130240,49469.0
130250,111751.0
130255,16211.0
130260,2303732.0
130270,58018.0
130280,15815.0
130290,66336.0
130300,21251.0
130310,28123.0
130320,16562.0
130330,25325.0
130340,101855.0
130350,20229.0
130353,33291.0
130356,25364.0
130360,13947.0
130370,30679.0
130380,57396.0
130390,35442.0
130395,12338.0
130400,12619.0
130406,73348.0
130410,20728.0
130420,80137.0
130423,20257.0
130426,15640.0
130430,19617.0
130440,25965.0
140002,16112.0
140005,23589.0
140010,485477.0
140015,15570.0
140017,21102.0
140020,22750.0
140023,12004.0
140028,10937.0
140030,20006.0
140040,16323.0
140045,23112.0
140047,37787.0
140050,9969.0
140060,7848.0
140070,16186.0
150010,172344.0
150013,6275.0
150020,63110.0
150030,40473.0
150034,17596.0
150040,75882.0
150050,36442.0
150060,138749.0
150070,30247.0
150080,509227.0
150085,35638.0
150090,47912.0
150095,24193.0
150100,19380.0
150110,35147.0
150120,56850.0
150125,4290.0
150130,139076.0
150140,1397315.0
150145,19075.0
150150,68962.0
150157,19129.0
150160,12961.0
150170,132489.0
150172,27130.0
150175,6966.0
150178,47066.0
150180,116058.0
150190,25065.0
150195,19223.0
150200,25467.0
150210,144859.0
150215,89524.0
150220,75309.0
150230,60318.0
150240,209126.0
150250,21501.0
150260,13625.0
150270,47144.0
150275,28270.0
150276,15150.0
150277,20975.0
150280,36814.0
150285,14954.0
150290,44880.0
150293,62823.0
150295,29287.0
150300,9167.0
150304,18595.0
150307,25558.0
150309,26703.0
150310,34137.0
150320,37925.0
150330,69446.0
150340,10784.0
150345,29264.0
150350,32740.0
150360,135369.0
150370,52201.0
150375,26579.0
150380,37726.0
